pergunta_norm,pergunta,claude-opus-4-6,deepseek-ai_deepseek-v4-flash,gemini-3-pro-preview,google_gemma-4-31b-it,gpt-5.1,meta_llama-3.3-70b-instruct,mistralai_mixtral-8x22b-instruct-v0.1,openai_gpt-oss-120b,qwen2-72B-Instruct,qwen_qwen3.5-122b-a10b,z-ai_glm-5.1
como a pessoa jurídica que apura o imposto sobre a renda com base na estimativa de lucro mensal pode compensar o imposto pago indevidamente ou a maior em relação ao apurado com base na estimativa de lucro no respectivo mês?,Como a pessoa jurídica que apura o Imposto sobre a Renda com base na  estimativa de lucro mensal pode compensar o imposto pago indevidamente ou  a maior em relação ao apurado com base na estimativa de lucro no respectivo  mês?,P,P,C,I,C,P,P,I,P,P,P
"como a pessoa jurídica que apura o irpj com base na estimativa de lucro mensal pode compensar o imposto sobre a renda retido na fonte (irrf), retido indevidamente ou a maior que o devido?","Como a pessoa jurídica que apura o IRPJ com base na estimativa de lucro mensal  pode compensar o Imposto sobre a Renda Retido na Fonte (IRRF), retido  indevidamente ou a maior que o devido?",C,C,P,P,C,I,C,I,P,P,C
como as empresas não imobiliárias devem classificar a conta representativa de “construções em andamento”?,Como as empresas não imobiliárias devem classificar a conta representativa de  “construções em andamento”?,C,C,C,C,C,C,C,P,C,C,C
como determinar o capital da empresa individual no caso de pessoa física equiparada por prática de operações imobiliárias?,Como determinar o capital da empresa individual no caso de pessoa física  equiparada por prática de operações imobiliárias?,I,I,I,I,I,I,I,I,I,I,I
como deve proceder o contribuinte que deixou de contabilizar ou contabilizou a menor o valor da provisão para o imposto sobre a renda?,Como deve proceder o contribuinte que deixou de contabilizar ou contabilizou  a menor o valor da provisão para o imposto sobre a renda?,I,I,I,I,I,I,I,I,I,I,I
"como deve ser apurado o limite admitido de compensação do tributo pago no exterior sobre lucros auferidos por meio de controladas, coligadas, filiais ou sucursais?","Como deve ser apurado o limite admitido de compensação do tributo pago no  exterior sobre lucros auferidos por meio de controladas, coligadas, filiais ou  sucursais?",C,C,C,C,P,C,C,C,P,P,C
como devem ser feitos os ajustes na determinação do lucro real e do resultado ajustado no reconhecimento e na reversão da perda estimada do valor de ativos?,Como devem ser feitos os ajustes na determinação do lucro real e do resultado  ajustado no reconhecimento e na reversão da perda estimada do valor de  ativos?,C,P,C,P,C,P,P,P,P,P,C
"como deverá proceder a pessoa jurídica que explora atividade rural com tributação pelo lucro real e, posteriormente, venha a optar pela tributação com base no lucro presumido ou arbitrado, e vier a alienar o bem depreciado com o incentivo fiscal?","Como deverá proceder a pessoa jurídica que explora atividade rural com  tributação pelo lucro real e, posteriormente, venha a optar pela tributação com  base no lucro presumido ou arbitrado, e vier a alienar o bem depreciado com o  incentivo fiscal?",C,C,C,C,C,C,C,C,C,C,C
"como deverão ser consideradas as diferenças decorrentes de alterações na taxa de câmbio ocorridas entre a data do fechamento do contrato de câmbio e a data de embarque, para efeito de registro da receita bruta de vendas nas exportações de produtos manufaturados nacionais?","Como deverão ser consideradas as diferenças decorrentes de alterações na taxa  de câmbio ocorridas entre a data do fechamento do contrato de câmbio e a data  de embarque, para efeito de registro da receita bruta de vendas nas exportações  de produtos manufaturados nacionais?",C,C,C,C,C,C,C,C,C,C,C
"como deverão ser convertidos os lucros auferidos no exterior por intermédio de filiais, sucursais, controladas ou coligadas?","Como deverão ser convertidos os lucros auferidos no exterior por intermédio de  filiais, sucursais, controladas ou coligadas?",C,C,P,C,C,C,C,C,C,C,C
"como deverão ser tratados os custos ou despesas operacionais pela adquirente, na hipótese de descaracterização da operação de arrendamento mercantil? adicionalmente, como deverão ser tratados os eventuais tributos não recolhidos?","Como deverão ser tratados os custos ou despesas operacionais pela  adquirente, na hipótese de descaracterização da operação de arrendamento  mercantil? Adicionalmente, como deverão ser tratados os eventuais tributos  não recolhidos?",C,C,C,C,C,C,C,C,C,C,C
como deverão ser tratados os reajustes posteriores à época do recebimento do bem adquirido por meio de consórcio?,Como deverão ser tratados os reajustes posteriores à época do recebimento do  bem adquirido por meio de consórcio?,C,C,C,C,C,C,C,P,C,C,C
como os direitos sujeitos à exaustão serão apresentados no balanço?,Como os direitos sujeitos à exaustão serão apresentados no balanço?,C,C,C,C,C,C,C,C,C,C,C
como poderá ser compensado o imposto pago a maior no período de apuração?,Como poderá ser compensado o imposto pago a maior no período de apuração?,C,P,P,P,C,I,P,P,P,P,P
como proceder com relação à sociedade cindida?,Como proceder com relação à sociedade cindida?,C,C,C,C,C,C,P,I,P,C,I
como será manifestada pelo contribuinte a tributação com base no lucro arbitrado?,Como será manifestada pelo contribuinte a tributação com base no lucro  arbitrado?,C,I,C,I,I,P,P,I,I,I,C
como serão tributados no brasil os lucros auferidos no exterior por intermédio de filiais e sucursais da pessoa jurídica no brasil?,Como serão tributados no Brasil os lucros auferidos no exterior por intermédio  de filiais e sucursais da pessoa jurídica no Brasil?,C,C,P,C,C,C,C,C,C,C,C
"considerando que todas as informações de interesse do fisco estão disponíveis no sped, a empresa vai poder eliminar os documentos físicos (em papel) que serviram de base para a escrituração contábil e fiscal?","Considerando que todas as informações de interesse do fisco estão disponíveis  no SPED, a empresa vai poder eliminar os documentos físicos (em papel) que  serviram de base para a escrituração contábil e fiscal?",C,C,C,C,C,C,C,C,C,C,C
de quais incentivos fiscais do irpj as empresas que optarem pelo lucro presumido poderão se utilizar?,De quais incentivos fiscais do IRPJ as empresas que optarem pelo lucro  presumido poderão se utilizar?,C,C,C,C,P,C,C,C,C,I,C
"de que forma devem ser apurados e registrados os créditos do art. 3º da lei nº 10.637, de 2002, do art. 3º da lei nº 10.833, de 2003, e do arts. 15 e 17 da lei nº 10.865, de 2004, e os demais créditos presumidos da contribuição para o pis/pasep e da cofins?","De que forma devem ser apurados e registrados os créditos do art. 3º da Lei nº  10.637, de 2002, do art. 3º da Lei nº 10.833, de 2003, e do arts. 15 e 17 da Lei nº  10.865, de 2004, e os demais créditos presumidos da Contribuição para o  PIS/Pasep e da Cofins?",C,C,C,C,C,C,C,C,C,C,C
"descaracterizada a operação de arrendamento mercantil financeiro, como será determinado o preço de compra e venda?","Descaracterizada a operação de arrendamento mercantil financeiro, como será  determinado o preço de compra e venda?",C,C,C,C,C,C,C,C,C,C,C
"dos resultados das controladas diretas ou indiretas no exterior não devem constar os resultados auferidos por outra pessoa jurídica sobre a qual a controladora brasileira mantenha o controle direto ou indireto. esta regra se aplica também para a apuração do estoque de prejuízos anteriores a 01/01/2015, passiveis de compensação com lucros futuros para efeitos de tributação no brasil?","Dos resultados das controladas diretas ou indiretas no exterior não devem  constar os resultados auferidos por outra pessoa jurídica sobre a qual a  controladora brasileira mantenha o controle direto ou indireto. Esta regra se  aplica também para a apuração do estoque de prejuízos anteriores a  01/01/2015, passiveis de compensação com lucros futuros para efeitos de  tributação no Brasil?",C,C,I,I,C,I,C,I,C,I,I
"em caso de alteração das normas em vigor que disciplinam a prática de operações imobiliárias por pessoas físicas, qual a legislação que deverá prevalecer?","Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?",C,C,C,C,C,C,C,C,C,C,C
"em caso de arbitramento do lucro, ficam as pessoas jurídicas dispensadas das penalidades e da comprovação da origem das receitas recebidas?","Em caso de arbitramento do lucro, ficam as pessoas jurídicas dispensadas das  penalidades e da comprovação da origem das receitas recebidas?",C,C,C,C,C,C,C,C,P,C,I
em quais hipóteses existe a possibilidade de apropriação de créditos presumidos da contribuição para o pis/pasep e da cofins relativos a selo de controle e equipamentos de controle de produção?,Em quais hipóteses existe a possibilidade de apropriação de créditos presumidos  da Contribuição para o PIS/Pasep e da Cofins relativos a selo de controle e  equipamentos de controle de produção?,I,I,I,I,I,I,I,I,I,I,I
"em que consiste a exaustão, em termos contábeis?","Em que consiste a exaustão, em termos contábeis?",P,C,C,C,C,C,C,C,C,C,C
em que data se considera ocorrida a aquisição ou alienação e quais as condições para que seja aceita?,Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,C,C,C,C,C,C,C,C,C,C,C
"em que momento deve ser tributado o lucro gerado por uma empresa estrangeira, classificada pela legislação brasileira como coligada ou porfólio de investimento sem influência nem relevância, cuja participação societária seja detida por uma por controlada direta ou indireta da controladora brasileira?","Em que momento deve ser tributado o lucro gerado por uma empresa  estrangeira, classificada pela legislação brasileira como coligada ou porfólio de  investimento sem influência nem relevância, cuja participação societária seja  detida por uma por controlada direta ou indireta da controladora brasileira?",P,I,I,I,I,I,I,I,I,I,I
"em relação às operações de arrendamento mercantil, é necessária evidenciação em subconta?","Em relação às operações de arrendamento mercantil, é necessária  evidenciação em subconta?",I,P,P,P,C,I,P,P,P,P,P
"existe a possibilidade de serem deduzidas, para fins do imposto de renda, as perdas havidas na alienação de investimentos oriundos de incentivos fiscais?","Existe a possibilidade de serem deduzidas, para fins do imposto de renda, as  perdas havidas na alienação de investimentos oriundos de incentivos fiscais?",C,C,C,C,C,C,C,C,C,C,C
"na apuração do ganho de capital na alienação de investimento, imobilizado ou intangível a ser acrescido à base de cálculo do lucro e do resultado arbitrado, o aumento no valor do ativo decorrente de avaliação com base no valor justo pode ser considerado como parte integrante do valor contábil?","Na apuração do ganho de capital na alienação de investimento, imobilizado ou  intangível a ser acrescido à base de cálculo do lucro e do resultado arbitrado,  o aumento no valor do ativo decorrente de avaliação com base no valor justo  pode ser considerado como parte integrante do valor contábil?",C,C,C,C,C,C,P,C,C,C,C
"na apuração do ganho de capital na alienação de investimento, imobilizado ou intangível a ser acrescido à base de cálculo do lucro e resultado presumido, o aumento no valor do ativo decorrente de avaliação com base no valor justo pode ser considerado como parte integrante do valor contábil?","Na apuração do ganho de capital na alienação de investimento, imobilizado ou  intangível a ser acrescido à base de cálculo do lucro e resultado presumido, o  aumento no valor do ativo decorrente de avaliação com base no valor justo  pode ser considerado como parte integrante do valor contábil?",C,C,C,C,C,I,P,C,C,C,C
"na hipótese em que o banco central do brasil venha a modificar ou incorporar novos dispositivos contábeis a serem aplicados pelas instituições financeiras e demais entidades autorizadas a funcionar, como os impactos tributários devem ser avaliados?","Na hipótese em que o Banco Central do Brasil venha a modificar ou incorporar  novos dispositivos contábeis a serem aplicados pelas instituições financeiras e  demais entidades autorizadas a funcionar, como os impactos tributários  devem ser avaliados?",C,C,C,C,C,C,C,I,C,C,C
"na ocorrência da adoção de novo método ou critério contábil, os contribuintes já estão autorizados a fazer os referidos ajustes na apuração do lucro real, da base de cálculo da csll, da cofins e do pis, até que a lei tributária regule a matéria? ou o contribuinte precisa de uma norma da rfb autorizando efetuar tais ajustes?","Na ocorrência da adoção de novo método ou critério contábil, os contribuintes  já estão autorizados a fazer os referidos ajustes na apuração do lucro real, da  base de cálculo da CSLL, da COFINS e do PIS, até que a lei tributária regule a  matéria? Ou o contribuinte precisa de uma norma da RFB autorizando efetuar  tais ajustes?",C,C,C,C,C,C,C,P,C,C,C
"no que tange à elaboração da escrituração contábil, quais requisitos deverão ser observados? como tal escrituração será formalizada para fins de fiscalização?","No que tange à elaboração da escrituração contábil,  quais requisitos deverão ser observados? Como tal escrituração será  formalizada para fins de fiscalização?",C,C,C,C,C,C,C,C,C,C,C
"nos casos em que o ajuste de preço de transferência/subcapitalização é maior que o valor do lucro auferidos no exterior, será possível “carregar” para os anos subsequentes o valor residual do ajuste que não foi deduzido da base de ir/csll no ano que foi apurado? em caso negativo, como remover o efeito de ""dupla tributação"" sobre a parcela do ajuste que excede o valor dos lucros?","Nos casos em que o ajuste de preço de transferência/subcapitalização é maior  que o valor do lucro auferidos no exterior, será possível “carregar” para os anos  subsequentes o valor residual do ajuste que não foi deduzido da base de IR/CSLL  no ano que foi apurado? Em caso negativo, como remover o efeito de ""dupla  tributação"" sobre a parcela do ajuste que excede o valor dos lucros?",C,C,C,C,C,C,I,C,C,C,C
o contribuinte pode efetuar a exclusão da diferença negativa entre o saldo do ativo diferido registrado na contabilidade societária e no fcont?,O contribuinte pode efetuar a exclusão da diferença negativa entre o saldo do  ativo diferido registrado na contabilidade societária e no FCONT?,C,C,C,C,C,C,C,C,C,C,C
o controle por subcontas na adoção inicial se aplica aos ativos e passivos relativos aos contratos de arrendamento mercantil nos quais haja transferência substancial dos riscos e benefícios inerentes à propriedade do bem em curso na data da adoção inicial?,O controle por subcontas na adoção inicial se aplica aos ativos e passivos  relativos aos contratos de arrendamento mercantil nos quais haja  transferência substancial dos riscos e benefícios inerentes à propriedade do  bem em curso na data da adoção inicial?,C,C,C,C,C,C,C,C,C,C,C
o ganho decorrente de avaliação de ativo com base no valor justo integrará a base de cálculo do lucro e resultado arbitrado?,O ganho decorrente de avaliação de ativo com base no valor justo integrará a  base de cálculo do lucro e resultado arbitrado?,C,P,C,C,C,C,P,P,P,C,C
o ganho decorrente de avaliação de ativo com base no valor justo integrará a base de cálculo do lucro e resultado presumido?,O ganho decorrente de avaliação de ativo com base no valor justo integrará a  base de cálculo do lucro e resultado presumido?,C,P,C,C,C,C,P,P,P,C,P
o ganho decorrente de avaliação de ativo com base no valor justo integrará a base de cálculo estimada do irpj e da csll?,O ganho decorrente de avaliação de ativo com base no valor justo integrará a  base de cálculo estimada do IRPJ e da CSLL?,C,C,C,P,C,P,C,P,I,C,P
o lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica em razão de operações com imóveis pode ser mantido como lucros suspensos na escrituração da pessoa jurídica?,O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,C,C,C,C,C,C,C,C,C,C,C
"o que deve ser considerado como ""contraprestações creditadas""?","O que deve ser considerado como ""contraprestações creditadas""?",C,C,C,C,C,C,C,C,C,C,C
o que deve ser entendido por contabilidade societária e como ela é apresentada?,O que deve ser entendido por contabilidade societária e como ela é  apresentada?,C,C,I,C,C,C,I,P,C,P,P
o que poderá acontecer à pessoa jurídica que optar indevidamente ou deixar de cumprir alguma das condições estabelecidas para opção pelo lucro presumido?,O que poderá acontecer à pessoa jurídica que optar indevidamente ou deixar de  cumprir alguma das condições estabelecidas para opção pelo lucro presumido?,I,I,P,I,P,I,C,I,I,I,I
o que se considera sistema de contabilidade de custo integrado e coordenado com o restante da escrituração?,O que se considera sistema de contabilidade de custo integrado e coordenado  com o restante da escrituração?,C,C,C,C,C,C,C,C,C,C,C
o que se deve considerar como ajustes de exercícios (períodos) anteriores?,O que se deve considerar como ajustes de exercícios (períodos) anteriores?,C,C,C,C,C,C,C,C,C,C,C
o que são descontos incondicionais?,O que são descontos incondicionais?,C,C,C,C,C,C,C,C,C,C,C
o que são “despesas incorridas”?,O que são “despesas incorridas”?,P,C,C,P,C,P,I,C,I,C,C
o que é cisão de uma sociedade?,O que é cisão de uma sociedade?,C,C,C,C,C,C,C,C,C,C,C
"o que é “despesa financeira” considerada nas contraprestações pagas ou creditadas, a que se refere o inciso i do art. 175 da in rfb nº 1.700, de 2017?","O que é “despesa financeira” considerada nas contraprestações pagas ou  creditadas, a que se refere o inciso I do art. 175 da IN RFB nº 1.700, de 2017?",I,I,I,I,P,I,P,P,P,I,I
o registro da csll como despesa afetará o cálculo do lucro da exploração?,O registro da CSLL como despesa afetará o cálculo do lucro da exploração?,I,I,C,C,C,C,I,C,I,P,I
"o valor correspondente à csll será considerado como despesa dedutível, para efeito de determinação do lucro real?","O valor correspondente à CSLL será considerado como despesa dedutível, para  efeito de determinação do lucro real?",C,C,C,C,C,C,C,C,C,C,C
onde estavam representados os ativos e passivos mensurados de acordo com os métodos e critérios vigentes em 31 de dezembro de 2007 durante a vigência do rtt? como era gerado o fcont?,Onde estavam representados os ativos e passivos mensurados de acordo com  os métodos e critérios vigentes em 31 de dezembro de 2007 durante a vigência  do RTT? Como era gerado o FCONT?,C,C,C,C,C,C,C,C,C,C,C
os condôminos na propriedade de imóveis estão sujeitos à equiparação como pessoa jurídica?,Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,C,P,C,C,C,C,I,C,P,P,C
os rendimentos e ganhos de capital auferidos no exterior sujeitam-se à incidência da csll?,Os rendimentos e ganhos de capital auferidos no exterior sujeitam-se à  incidência da CSLL?,C,C,C,C,C,C,C,C,C,C,C
os resultados auferidos por filiais e sucursais podem ser consolidados?,Os resultados auferidos por filiais e sucursais podem ser consolidados?,C,C,C,C,C,C,C,C,C,C,C
"pessoa jurídica que apresentou declaração com base no lucro presumido poderá, após a entrega, pedir retificação para efeito de declarar pelo lucro real?","Pessoa Jurídica que apresentou declaração com base no lucro presumido  poderá, após a entrega, pedir retificação para efeito de declarar pelo lucro real?",I,I,I,I,P,P,C,P,I,P,P
pessoa jurídica que retornar ao lucro real poderá fazer jus à depreciação acelerada incentivada?,Pessoa jurídica que retornar ao lucro real poderá fazer jus à depreciação  acelerada incentivada?,P,P,C,C,C,I,I,I,I,C,C
"podem ser consideradas, como custo ou despesa operacional, as aquisições, por empresas que exploram serviços de hotelaria, restaurantes e similares, de guarnições de cama, mesa e banho, e louças?","Podem ser consideradas, como custo ou despesa operacional, as aquisições, por  empresas que exploram serviços de hotelaria, restaurantes e similares, de  guarnições de cama, mesa e banho, e louças?",C,C,C,C,C,C,C,C,C,C,C
poderá haver mudança da opção para o contribuinte que já efetuou o recolhimento da primeira quota ou de quota única com base no lucro presumido?,Poderá haver mudança da opção para o contribuinte que já efetuou o  recolhimento da primeira quota ou de quota única com base no lucro  presumido?,P,C,P,P,C,P,C,C,P,P,C
"quais as alíquotas aplicáveis sobre o lucro, para determinar o imposto de renda devido pela pessoa jurídica em cada período de apuração?","Quais as alíquotas aplicáveis sobre o lucro, para determinar o imposto de renda  devido pela pessoa jurídica em cada período de apuração?",C,C,C,C,C,C,P,C,C,C,C
quais as exclusões admitidas para efeito de apuração da base de cálculo da contribuição para o pis/pasep e da cofins devidas pelas sociedades cooperativas de rádio táxi?,Quais as exclusões admitidas para efeito de apuração da base de cálculo da  Contribuição para o PIS/Pasep e da Cofins devidas pelas sociedades cooperativas  de rádio táxi?,C,C,C,C,C,C,C,C,C,C,C
quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,P,C,C,C,C,P,C,C,P,P,P
quais as pessoas jurídicas que têm seu ingresso permitido nas sociedades cooperativas?,Quais as pessoas jurídicas que têm seu ingresso permitido nas sociedades  cooperativas?,P,C,P,C,P,P,C,P,P,P,P
quais os efeitos tributários no caso de a ecf retificadora apresentar valores a título de irpj e de csll diferentes daqueles inicialmente apresentados na ecf retificada?,Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,C,I,I,I,C,I,P,P,I,I,I
"quais os limites aplicáveis, para a pessoa jurídica domiciliada no brasil, nos casos de endividamento quando o credor for pessoa física ou jurídica residente, domiciliada ou constituída no exterior, em país ou dependência com tributação favorecida ou sob regime fiscal privilegiado?","Quais os limites aplicáveis, para a pessoa jurídica domiciliada no Brasil, nos casos  de endividamento quando o credor for pessoa física ou jurídica residente,  domiciliada ou constituída no exterior, em país ou dependência com tributação  favorecida ou sob regime fiscal privilegiado?",P,P,P,P,P,P,C,C,C,C,C
quais são os contribuintes do imposto de renda da pessoa jurídica?,Quais são os contribuintes do imposto de renda da pessoa jurídica?,P,I,P,P,P,P,C,P,P,P,P
quais são os gastos com a implantação de uma indústria que deverão ser considerados como “despesas pré-operacionais”?,Quais são os gastos com a implantação de uma indústria que deverão ser  considerados como “despesas pré-operacionais”?,P,P,C,C,C,C,C,P,C,C,C
quais são os níveis de detalhamento e as características das subcontas?,Quais são os níveis de detalhamento e as características das subcontas?,C,C,P,C,C,P,C,C,C,C,C
"quais valores devem ser computados na determinação da base de cálculo do pis e da cofins, em operação de arrendamento mercantil, na pessoa jurídica arrendadora?","Quais valores devem ser computados na determinação da base de cálculo do  PIS e da COFINS, em operação de arrendamento mercantil, na pessoa jurídica  arrendadora?",C,C,P,P,C,C,C,P,P,P,C
qual deve ser o procedimento adotado na criação de subcontas no caso de ativos ou passivos representados por mais de uma conta?,Qual deve ser o procedimento adotado na criação de subcontas no caso de  ativos ou passivos representados por mais de uma conta?,P,P,P,P,P,P,P,P,P,P,P
qual deve ser o procedimento adotado pelo contribuinte no caso de contrato de concessão de serviços públicos na adoção inicial?,Qual deve ser o procedimento adotado pelo contribuinte no caso de contrato  de concessão de serviços públicos na adoção inicial?,C,C,C,C,C,C,P,C,P,C,C
"qual deve ser o tratamento tributário, para fins de determinação do lucro real e do resultado ajustado, para pagamento baseado em ações? em que momento o pagamento baseado em ações poderá ser considerado dedutível?","Qual deve ser o tratamento tributário, para fins de determinação do lucro real  e do resultado ajustado, para pagamento baseado em ações? Em que  momento o pagamento baseado em ações poderá ser considerado dedutível?",C,C,C,C,C,C,C,C,C,C,C
"qual o destino a ser dado aos imóveis integrantes do ativo (patrimônio) da empresa individual quando, completado o prazo de 36 (trinta e seis) meses consecutivos sem promover incorporações ou loteamentos, ocorrer o término da equiparação à pessoa jurídica?","Qual o destino a ser dado aos imóveis integrantes do ativo (patrimônio) da  empresa individual quando, completado o prazo de 36 (trinta e seis) meses  consecutivos sem promover incorporações ou loteamentos, ocorrer o término  da equiparação à pessoa jurídica?",C,P,P,C,P,C,I,I,C,I,P
"qual o quantitativo de operações imobiliárias necessário para equiparação de pessoa física à pessoa jurídica, determinando o início da tributação como pessoa jurídica?","Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?",C,P,P,C,C,C,C,C,C,C,I
"qual o regime de tributação da pessoa jurídica que auferir lucros, rendimentos e ganhos de capital do exterior?","Qual o regime de tributação da pessoa jurídica que auferir lucros, rendimentos  e ganhos de capital do exterior?",C,C,C,C,C,C,C,C,C,C,C
"qual o tratamento aplicável, em relação ao ganho de capital, aos contratos não tipificados como arrendamento mercantil e que contenham elementos contabilizados como arrendamento mercantil por força de normas contábeis e da legislação comercial?","Qual o tratamento aplicável, em relação ao ganho de capital, aos contratos não  tipificados como arrendamento mercantil e que contenham elementos  contabilizados como arrendamento mercantil por força de normas contábeis e  da legislação comercial?",C,I,P,C,P,I,I,P,C,C,P
qual o tratamento tributário aplicável ao prejuízo fiscal apurado por sociedade em conta de participação (scp)?,Qual o tratamento tributário aplicável ao prejuízo fiscal apurado por Sociedade  em Conta de Participação (SCP)?,C,C,C,C,C,C,C,C,C,C,C
qual o tratamento tributário da reversão contábil da perda estimada no valor do ativo?,Qual o tratamento tributário da reversão contábil da perda estimada no valor  do ativo?,C,C,C,C,C,C,C,C,C,C,C
"qual o tratamento tributário dispensado à receita decorrente da venda de bens classificados no grupo de ""ativo não circulante mantido para venda"", quando pessoa jurídica sujeita ao regime não cumulativo?","Qual o tratamento tributário dispensado à receita decorrente da venda de  bens classificados no grupo de ""ativo não circulante mantido para venda"",  quando pessoa jurídica sujeita ao regime não cumulativo?",C,C,C,C,C,P,C,C,C,C,C
qual o valor que deverá ser considerado para fins de exclusão na determinação do lucro real e do resultado ajustado?,Qual o valor que deverá ser considerado para fins de exclusão na determinação  do lucro real e do resultado ajustado?,C,C,C,C,C,C,C,C,C,C,C
"qual será o resultado tributável quando da alienação de bem objeto de arrendamento mercantil, na hipótese em que o valor contábil do bem já tiver sido computado na determinação do lucro real e do resultado ajustado pela arrendatária a título de contraprestação de arrendamento mercantil?","Qual será o resultado tributável quando da alienação de bem objeto de  arrendamento mercantil, na hipótese em que o valor contábil do bem já tiver  sido computado na determinação do lucro real e do resultado ajustado pela  arrendatária a título de contraprestação de arrendamento mercantil?",C,C,C,C,C,C,C,C,C,C,C
qual é o valor da parcela do investimento referente ao lucro ou prejuízo de investimento no exterior que deve ser registrada na subconta de investimento?,Qual é o valor da parcela do investimento referente ao lucro ou prejuízo de  investimento no exterior que deve ser registrada na subconta de investimento?,C,C,C,C,C,C,C,C,C,C,C
