rank_dificuldade,pergunta_norm,pergunta,resposta_oficial,n_modelos,n_correto,n_parcialmente_correto,n_incorreto,score_medio_0_5,score_min,score_max,desvio_medio_entre_julgadores,modelos_incorretos,modelos_parciais,modelos_corretos,taxa_erro,taxa_nao_correto
11,como será manifestada pelo contribuinte a tributação com base no lucro arbitrado?,Como será manifestada pelo contribuinte a tributação com base no lucro  arbitrado?,"A tributação com base no lucro arbitrado será manifestada mediante o pagamento da primeira quota ou da quota única do imposto devido, correspondente ao período de apuração trimestral em que o contribuinte, conhecendo sua receita bruta, verificou que incidiu em uma das hipóteses que ensejam o arbitramento de seu lucro.",11,3,2,6,2.7878787878787876,1.0,4.333333333333333,0.5492228985752164,"deepseek-ai_deepseek-v4-flash, google_gemma-4-31b-it, gpt-5.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b","meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1","claude-opus-4-6, gemini-3-pro-preview, z-ai_glm-5.1",0.5454545454545454,0.7272727272727273
12,"dos resultados das controladas diretas ou indiretas no exterior não devem constar os resultados auferidos por outra pessoa jurídica sobre a qual a controladora brasileira mantenha o controle direto ou indireto. esta regra se aplica também para a apuração do estoque de prejuízos anteriores a 01/01/2015, passiveis de compensação com lucros futuros para efeitos de tributação no brasil?","Dos resultados das controladas diretas ou indiretas no exterior não devem  constar os resultados auferidos por outra pessoa jurídica sobre a qual a  controladora brasileira mantenha o controle direto ou indireto. Esta regra se  aplica também para a apuração do estoque de prejuízos anteriores a  01/01/2015, passiveis de compensação com lucros futuros para efeitos de  tributação no Brasil?","Em obediência à uniformidade de critério, na falta de ressalva em Lei, dos prejuízos contábeis anteriores a 2015 não devem constar resultados (lucros ou prejuízos) originados da participação em outra pessoa jurídica sobre a qual a controladora brasileira mantenha controle direto ou indireto.",11,5,0,6,2.4242424242424243,0.0,5.0,0.3008546433416821,"gemini-3-pro-preview, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct, openai_gpt-oss-120b, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gpt-5.1, mistralai_mixtral-8x22b-instruct-v0.1, qwen2-72B-Instruct",0.5454545454545454,0.5454545454545454
13,"pessoa jurídica que apresentou declaração com base no lucro presumido poderá, após a entrega, pedir retificação para efeito de declarar pelo lucro real?","Pessoa Jurídica que apresentou declaração com base no lucro presumido  poderá, após a entrega, pedir retificação para efeito de declarar pelo lucro real?","Após a entrega da declaração de informações com base no lucro presumido, não há mais como o contribuinte alterar a sua opção. Entretanto, será admitida a retificação da declaração quando o contribuinte comprovar ter exercido irregularmente a opção pelo lucro presumido, na hipótese em que a legislação fiscal expressamente torne obrigatória a sua tributação com base no lucro real; ou, ainda, quando for constatado tal fato por meio de procedimento de ofício, o qual poderá adotar a tributação com base no lucro real quando exigido por lei, ou o lucro arbitrado, dependendo do caso.",11,1,5,5,2.727272727272727,1.3333333333333333,4.0,0.7649342343272796,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, qwen2-72B-Instruct","gpt-5.1, meta_llama-3.3-70b-instruct, openai_gpt-oss-120b, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",mistralai_mixtral-8x22b-instruct-v0.1,0.45454545454545453,0.9090909090909091
14,o registro da csll como despesa afetará o cálculo do lucro da exploração?,O registro da CSLL como despesa afetará o cálculo do lucro da exploração?,"A CSLL será adicionada ao lucro líquido do período de apuração, antes da provisão para o imposto de renda, para efeito de determinação do lucro da exploração, que servirá de base de cálculo de incentivos fiscais.",11,5,1,5,3.5757575757575752,2.333333333333333,5.0,0.5773502691896258,"claude-opus-4-6, deepseek-ai_deepseek-v4-flash, mistralai_mixtral-8x22b-instruct-v0.1, qwen2-72B-Instruct, z-ai_glm-5.1",qwen_qwen3.5-122b-a10b,"gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, openai_gpt-oss-120b",0.45454545454545453,0.5454545454545454
15,a isenção do irpj depende de prévio reconhecimento pela secretaria especial da receita federal do brasil?,A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,11,4,3,4,3.5454545454545454,2.0,5.0,1.1082240086585893,"gemini-3-pro-preview, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct, qwen2-72B-Instruct","claude-opus-4-6, gpt-5.1, openai_gpt-oss-120b","deepseek-ai_deepseek-v4-flash, mistralai_mixtral-8x22b-instruct-v0.1, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",0.36363636363636365,0.6363636363636364
16,pessoa jurídica que retornar ao lucro real poderá fazer jus à depreciação acelerada incentivada?,Pessoa jurídica que retornar ao lucro real poderá fazer jus à depreciação  acelerada incentivada?,"Sim. Retornando à tributação com base no lucro real a pessoa jurídica deverá adicionar o encargo de depreciação normal registrado na escrituração comercial, relativo a bens já totalmente depreciados, ao resultado da atividade rural, efetuando a baixa do respectivo valor no saldo da depreciação incentivada controlado na Parte B do e-Lalur e do e-Lacs.",11,5,2,4,2.6969696969696972,0.0,4.666666666666667,0.7129003394337476,"meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct","claude-opus-4-6, deepseek-ai_deepseek-v4-flash","gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",0.36363636363636365,0.5454545454545454
17,a absorção na escrituração comercial de prejuízos contábeis impede a compensação dos prejuízos fiscais?,A absorção na escrituração comercial de prejuízos contábeis impede a  compensação dos prejuízos fiscais?,"A absorção na escrituração comercial de prejuízos contábeis apurados mediante débito à conta de lucros acumulados, de reservas de lucros ou de capital, ao capital social, ou à conta de sócios, matriz ou titular de empresa individual, não impede a compensação dos prejuízos fiscais.",11,3,5,3,3.1818181818181817,0.6666666666666666,4.666666666666667,0.7546389021407459,"gemini-3-pro-preview, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct","deepseek-ai_deepseek-v4-flash, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, z-ai_glm-5.1","claude-opus-4-6, gpt-5.1, qwen_qwen3.5-122b-a10b",0.2727272727272727,0.7272727272727273
18,"qual o destino a ser dado aos imóveis integrantes do ativo (patrimônio) da empresa individual quando, completado o prazo de 36 (trinta e seis) meses consecutivos sem promover incorporações ou loteamentos, ocorrer o término da equiparação à pessoa jurídica?","Qual o destino a ser dado aos imóveis integrantes do ativo (patrimônio) da  empresa individual quando, completado o prazo de 36 (trinta e seis) meses  consecutivos sem promover incorporações ou loteamentos, ocorrer o término  da equiparação à pessoa jurídica?","Permanecerão no ativo da empresa individual, para efeito de tributação como lucro da pessoa jurídica: a) as unidades imobiliárias e os lotes de terrenos integrantes de incorporações ou loteamentos, até sua alienação e, após esta, o saldo a receber, até o recebimento total do preço; b) o saldo a receber do preço dos imóveis então alienados, até seu recebimento total.",11,4,4,3,3.333333333333333,1.6666666666666667,5.0,0.9472274548514809,"mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen_qwen3.5-122b-a10b","deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, gpt-5.1, z-ai_glm-5.1","claude-opus-4-6, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct, qwen2-72B-Instruct",0.2727272727272727,0.6363636363636364
19,"qual o tratamento aplicável, em relação ao ganho de capital, aos contratos não tipificados como arrendamento mercantil e que contenham elementos contabilizados como arrendamento mercantil por força de normas contábeis e da legislação comercial?","Qual o tratamento aplicável, em relação ao ganho de capital, aos contratos não  tipificados como arrendamento mercantil e que contenham elementos  contabilizados como arrendamento mercantil por força de normas contábeis e  da legislação comercial?","Em relação aos contratos não tipificados como arrendamento mercantil que contenham elementos contabilizados como arrendamento mercantil por força de normas contábeis e da legislação comercial, a determinação do ganho ou perda de capital de bens ou direitos que tenham sido objeto de arrendamento mercantil terá por base o valor contábil do bem, assim entendido o que estiver registrado na escrituração do contribuinte, diminuído, se for o caso, da depreciação, amortização ou exaustão acumulada e das perdas estimadas no valor de ativos. O disposto acima não se aplica quando o valor contábil do bem já tiver sido computado na determinação do lucro real e do resultado ajustado pela arrendatária, a título de contraprestação de arrendamento mercantil. Neste caso, o resultado tributável da alienação corresponderá ao respectivo valor da alienação.",11,4,4,3,3.666666666666666,2.6666666666666665,5.0,0.20994555243259122,"deepseek-ai_deepseek-v4-flash, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1","gemini-3-pro-preview, gpt-5.1, openai_gpt-oss-120b, z-ai_glm-5.1","claude-opus-4-6, google_gemma-4-31b-it, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b",0.2727272727272727,0.6363636363636364
20,"em relação às operações de arrendamento mercantil, é necessária evidenciação em subconta?","Em relação às operações de arrendamento mercantil, é necessária  evidenciação em subconta?",No caso de bem objeto de arrendamento mercantil financeiro não é necessário que a arrendatária evidencie em subconta vinculada ao bem arrendado os juros decorrentes do ajuste a valor presente relativo ao contrato de arrendamento mercantil.,11,1,8,2,3.1515151515151514,2.6666666666666665,4.333333333333333,0.9608161014526662,"claude-opus-4-6, meta_llama-3.3-70b-instruct","deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, mistralai_mixtral-8x22b-instruct-v0.1, openai_gpt-oss-120b, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",gpt-5.1,0.18181818181818182,0.9090909090909091
21,como a pessoa jurídica que apura o imposto sobre a renda com base na estimativa de lucro mensal pode compensar o imposto pago indevidamente ou a maior em relação ao apurado com base na estimativa de lucro no respectivo mês?,Como a pessoa jurídica que apura o Imposto sobre a Renda com base na  estimativa de lucro mensal pode compensar o imposto pago indevidamente ou  a maior em relação ao apurado com base na estimativa de lucro no respectivo  mês?,"Os valores do IRPJ e da CSLL pagos e que excederem os apurados com base na estimativa de lucro no respectivo mês somente podem ser utilizados no final do período de apuração em que houve o pagamento indevido ou maior que o devido para: a) dedução do IRPJ ou da CSLL; b) ou compor o saldo negativo de IRPJ ou de CSLL. No caso de pagamento calculado com base na estimativa de lucro mensal, o final do período de apuração é, em regra, 31 de dezembro. Excepcionalmente, no caso de pessoas jurídicas submetidas aos seguintes eventos, o final do período de apuração será a data do evento: a) incorporação, fusão ou cisão; b) extinção da pessoa jurídica, pelo encerramento da liquidação.",11,2,7,2,3.3636363636363638,1.6666666666666667,4.333333333333333,0.7207457482068645,"google_gemma-4-31b-it, openai_gpt-oss-120b","claude-opus-4-6, deepseek-ai_deepseek-v4-flash, meta_llama-3.3-70b-instruct, mistralai_mixtral-8x22b-instruct-v0.1, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1","gemini-3-pro-preview, gpt-5.1",0.18181818181818182,0.8181818181818182
22,"como a pessoa jurídica que apura o irpj com base na estimativa de lucro mensal pode compensar o imposto sobre a renda retido na fonte (irrf), retido indevidamente ou a maior que o devido?","Como a pessoa jurídica que apura o IRPJ com base na estimativa de lucro mensal  pode compensar o Imposto sobre a Renda Retido na Fonte (IRRF), retido  indevidamente ou a maior que o devido?","Os valores do IRRF e da CSLL retidos na fonte e que excederem os apurados com base na estimativa de lucro no respectivo mês somente podem ser utilizados no final do período de apuração em que houve a retenção para: a) dedução do IRPJ ou da CSLL; b) ou compor o saldo negativo de IRPJ ou de CSLL. No caso de pagamento calculado com base na estimativa de lucro mensal, o final do período de apuração é, em regra, 31 de dezembro. Excepcionalmente, no caso de pessoas jurídicas submetidas aos seguintes eventos, o final do período de apuração será a data do evento: a) incorporação, fusão ou cisão; b) extinção da pessoa jurídica, pelo encerramento da liquidação.",11,5,4,2,3.606060606060606,2.333333333333333,4.333333333333333,0.6157729719905689,"meta_llama-3.3-70b-instruct, openai_gpt-oss-120b","gemini-3-pro-preview, google_gemma-4-31b-it, qwen2-72B-Instruct, qwen_qwen3.5-122b-a10b","claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gpt-5.1, mistralai_mixtral-8x22b-instruct-v0.1, z-ai_glm-5.1",0.18181818181818182,0.5454545454545454
23,"se o sujeito passivo não atender, no prazo estipulado, à intimação para prestar esclarecimentos, apresentar os arquivos ou sistemas de que tratam os arts. 11 a 13 da lei 8.218/91 ou a documentação técnica de que trata o art. 38 da lei 9.430/96, quais são os percentuais de multa a serem aplicados?","Se o sujeito passivo não atender, no prazo estipulado, à intimação para prestar  esclarecimentos, apresentar os arquivos ou sistemas de que tratam os arts. 11 a  13 da Lei 8.218/91 ou a documentação técnica de que trata o art. 38 da Lei  9.430/96, quais são os percentuais de multa a serem aplicados?","Nesse caso caberá multa de ofício de 112,5% se o sujeito, além de não ter atendido à intimação, não pagou o débito ou não apresentou declaração. Ou de 225% se o sujeito, além dos motivos que ensejariam a aplicação da multa de 112,5%, incorrer também em crime contra a ordem tributária, de sonegação, fraude ou conluio. Esses percentuais correspondem à multa de 75% (Lei 9.430, art. 44, I) aumentada de 50% (75% x 1,5 = 112,5%), ou à multa de 150% (Lei 9.430, art. 44, § 1º) aumentada de 50% (150% x 1,5 = 225%).",11,6,3,2,3.515151515151515,1.6666666666666667,4.333333333333333,0.8699070105435751,"mistralai_mixtral-8x22b-instruct-v0.1, qwen2-72B-Instruct","deepseek-ai_deepseek-v4-flash, openai_gpt-oss-120b, qwen_qwen3.5-122b-a10b","claude-opus-4-6, gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, z-ai_glm-5.1",0.18181818181818182,0.45454545454545453
24,o que são “despesas incorridas”?,O que são “despesas incorridas”?,"Despesas incorridas são aquelas de competência do período de apuração, relativas a bens empregados ou a serviços consumidos nas transações ou operações exigidas pela atividade da empresa, tenham sido pagas ou não. De acordo com o PN CST nº 58, de 1977, a obrigação de pagar determinada despesa (enquadrável como operacional) nasce quando, em face da relação jurídica que lhe deu causa, já se verificaram todos os pressupostos materiais que a tornaram incondicional, vale dizer, exigível independentemente de qualquer prestação por parte do respectivo credor. Despesas incorridas são, portanto, aquelas decorrentes de bens empregados ou de serviços consumidos nas transações ou operações exigidas pela atividade da empresa, em relação às quais já tenha nascido a obrigação correspondente, ainda que o respectivo pagamento venha a ocorrer em período subsequente.",11,6,3,2,3.6363636363636362,2.0,4.666666666666667,0.6401319894843073,"mistralai_mixtral-8x22b-instruct-v0.1, qwen2-72B-Instruct","claude-opus-4-6, google_gemma-4-31b-it, meta_llama-3.3-70b-instruct","deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, gpt-5.1, openai_gpt-oss-120b, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1",0.18181818181818182,0.45454545454545453
25,o que deve ser entendido por contabilidade societária e como ela é apresentada?,O que deve ser entendido por contabilidade societária e como ela é  apresentada?,"A contabilidade societária é apresentada por meio da Escrituração Contábil Digital (ECD) no caso de pessoa jurídica que a tenha adotado nos termos da Instrução Normativa RFB nº 2.003, de 18 de janeiro de 2021. Na contabilidade societária, os ativos e passivos estarão mensurados de acordo com as disposições da Lei nº 6.404, de 1976, considerando as alterações introduzidas pela Lei n° 11.638/07 e pela Lei n° 11.941/09.",11,6,3,2,3.7575757575757573,2.333333333333333,5.0,0.4442501223589208,"gemini-3-pro-preview, mistralai_mixtral-8x22b-instruct-v0.1","openai_gpt-oss-120b, qwen_qwen3.5-122b-a10b, z-ai_glm-5.1","claude-opus-4-6, deepseek-ai_deepseek-v4-flash, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, qwen2-72B-Instruct",0.18181818181818182,0.45454545454545453
26,como proceder com relação à sociedade cindida?,Como proceder com relação à sociedade cindida?,"Efetivada a cisão com extinção da sociedade cindida, caberá aos administradores das sociedades que tiverem absorvido parcelas do seu patrimônio promover o arquivamento e a publicação dos atos da operação. Na cisão com versão parcial do patrimônio esta obrigação caberá aos administradores da companhia cindida e da que absorver parcela do seu patrimônio.",11,7,2,2,3.7878787878787876,1.6666666666666667,4.666666666666667,0.9844139232000138,"openai_gpt-oss-120b, z-ai_glm-5.1","mistralai_mixtral-8x22b-instruct-v0.1, qwen2-72B-Instruct","claude-opus-4-6, deepseek-ai_deepseek-v4-flash, gemini-3-pro-preview, google_gemma-4-31b-it, gpt-5.1, meta_llama-3.3-70b-instruct, qwen_qwen3.5-122b-a10b",0.18181818181818182,0.36363636363636365
