question,answer,reference,gold_passage
"Quando devem ser baixados os bens obsoletos, constantes do Ativo Imobilizado  da pessoa jurídica?","Quaisquer bens constantes do ativo imobilizado da pessoa jurídica, quer estejam totalmente depreciados ou não, somente podem ser baixados da contabilidade e do controle patrimonial concomitantemente à efetiva baixa física do bem.","PN CST nº 146, de 1975.","Consulta-se qual a formalidade administrativa exigida para a baixa de bens do Ativo Imobilizado, em virtude de sua obsolescência normal ou excepcional, ou de ocorrência de caso fortuito ou de força maior.
2. A duração de vida útil estimada de um bem do Ativo Imobilizado, que serve de base para serem determinadas as taxas de depreciação, não coincide, necessariamente, com a duração de sua utilização efetiva. Se o prazo de utilização for superior ao estimado, pode o bem ser mantido em uso até que seja necessária a sua reforma, recuperação, substituição ou baixa.
3. Quando o bem se torne imprestável antes do prazo estimado, em virtude de fatores não previsíveis, como a obsolescência excepcional ou ocorrência de caso fortuito ou de força maior, pode ocorrer que somente parte das quotas de depreciação tenha sido apropriada. Nesta hipótese, a baixa do bem normalmente acarreta perdas extraordinárias, as quais poderão ser computadas como despesas operacionais, salvo se forem recuperáveis através de seguro ou de indenização de terceiros, conforme disposto no art. 47, § 69, da Lei nº 4.506/64 (artigo 186 do RIR aprovado pelo Decreto nº 76.186/75).
Em qualquer caso, a baixa contábil deve ser concomitante à baixa física do bem, isto é, com sua efetiva saída do patrimônio da empresa, e o valor de alienação, caso haja valor econômico apurável, de acordo com o art, 201 do RIR, servirá para apuração da receita eventual ou do valor efetivamente perdido.
5. Enquanto não ocorrida a baixa física do bem , deve permanecer o registro de seu valor contábil, que terá como contrapartida os valores acumulados do fundo de depreciação, como registro de regularização do valor do ativo, aplicável o disposto no Parecer Normativo CST nº 455 de 24.11.70 (DOU de 2.12.70) quanto à apuração do resultado.
6. Esclareça-se, finalmente, que embora a lei não imponha formalidade especial para eliminação do ativo, em qualquer caso fica o contribuinte sujeito a comprovar pela forma estabelecida nas leis comerciais e fiscais (art. 135 do RIR) o ato ou fato econômico que serviu de base aos lançamentos contábeis efetuados."
"Quais as alíquotas aplicáveis sobre o lucro, para determinar o imposto de renda  devido pela pessoa jurídica em cada período de apuração?","A partir do ano-calendário de 1996, as pessoas jurídicas, independentemente da forma de constituição e da natureza da atividade exercida, passaram a pagar o imposto de renda à alíquota de quinze por cento, incidente sobre a base de cálculo apurada na forma do lucro real, presumido ou arbitrado.","Lei nº 9.249, de 1995, art. 3º.","Art. 3º A alíquota do imposto de renda das pessoas jurídicas é de quinze por cento.

§ 1º A parcela do lucro real, presumido ou arbitrado, que exceder o valor resultante da multiplicação de R$ 20.000,00 (vinte mil reais) pelo número de meses do respectivo período de apuração, sujeita-se à incidência de adicional de imposto de renda à alíquota de dez por cento.                         (Redação dada pela Lei 9.430, de 1996)

§ 2º O disposto no parágrafo anterior aplica-se, inclusive, nos casos de incorporação, fusão ou cisão e de extinção da pessoa jurídica pelo encerramento da liquidação.                     (Redação dada pela Lei 9.430, de 1996)

§ 3º O disposto neste artigo aplica-se, inclusive, à pessoa jurídica que explore atividade rural de que trata a Lei nº 8.023, de 12 de abril de 1990.

§ 4º O valor do adicional será recolhido integralmente, não sendo permitidas quaisquer deduções.                     (Vide Lei nº 12.761, de 2012)"
Quando se considera devido o adicional do IRPJ e qual a alíquota aplicável no  seu cálculo?,"Sobre a parcela do lucro real, presumido ou arbitrado que exceder o valor resultante da multiplicação de R$ 20.000,00 (vinte mil reais) pelo número de meses do respectivo período de apuração, o adicional incidirá à alíquota de dez por cento. Aplica-se esse adicional, inclusive, na exploração da atividade rural e, também, nas hipóteses de incorporação, fusão e cisão.","RIR/2018, arts. 225, parágrafo único. ","Art. 225. O imposto sobre a renda a ser pago mensalmente na forma estabelecida nesta Subseção será determinado por meio da aplicação, sobre a base de cálculo, da alíquota de quinze por cento ( Lei nº 9.430, de 1996, art. 2º, § 1º ).

Parágrafo único. A parcela da base de cálculo, apurada mensalmente, que exceder a R$ 20.000,00 (vinte mil reais) ficará sujeita à incidência de adicional do imposto sobre a renda à alíquota de dez por cento ( Lei nº 9.430, de 1996, art. 2º, § 2º )."
O que se deve considerar como ajustes de exercícios (períodos) anteriores?,"Como ajustes de exercícios (períodos) anteriores serão consideradas apenas as regularizações decorrentes de efeitos de mudança de critério contábil, ou de retificação de erro imputável a determinado período anterior, e que não possam ser atribuídas a fatos subsequentes.","Lei nº 6.404, de 1976, art. 186, § 1º.","Art. 186. A demonstração de lucros ou prejuízos acumulados discriminará:

I - o saldo do início do período, os ajustes de exercícios anteriores e a correção monetária do saldo inicial;

II - as reversões de reservas e o lucro líquido do exercício;

III - as transferências para reservas, os dividendos, a parcela dos lucros incorporada ao capital e o saldo ao fim do período.

§ 1º Como ajustes de exercícios anteriores serão considerados apenas os decorrentes de efeitos da mudança de critério contábil, ou da retificação de erro imputável a determinado exercício anterior, e que não possam ser atribuídos a fatos subseqüentes.

§ 2º A demonstração de lucros ou prejuízos acumulados deverá indicar o montante do dividendo por ação do capital social e poderá ser incluída na demonstração das mutações do patrimônio líquido, se elaborada e publicada pela companhia."
O que são descontos incondicionais?,"Somente são consideradas, como descontos incondicionais, as parcelas redutoras do preço de vendas, quando constarem da nota fiscal de venda dos bens ou da fatura de serviços e não dependerem, para sua concessão, de evento posterior à emissão desses documentos.","Instrução Normativa SRF nº 51, de 1978, subitem 4.2.","O Secretário da Receita Federal, no uso de suas atribuições,

Considerando que o Decreto-Lei nº 1.598, de 26 de dezembro de 1977 fixou novas normas para determinação da base de cálculo do imposto sobre o lucro das pessoas jurídicas;

Considerando a conveniência de uniformizar as demonstrações de resultados que instruem a declaração de rendimentos, resolve:

1. A receita bruta das vendas e serviços compreende o produto da venda de bens, nas operações de conta própria, e o preço dos serviços prestados (art. 12 do Decreto-Lei nº 1.598, de 26 de dezembro de 1977).

2. Na receita bruta não se incluem os impostos não-cumulativos cobrados do comprador ou contratante (Imposto sobre Produtos Industrializados e Imposto Único sobre Minerais do País) e do qual o vendedor dos bens ou prestador dos serviços seja mero depositário. Imposto não-cumulativo é aquele em que se abate, em cada operação, o montante de imposto cobrado nas anteriores.

3. Igualmente não se computam no custo de aquisição das mercadorias para revenda e das matérias-primas os impostos mencionados no item anterior, que devam ser recuperados.

4. A receita líquida de vendas e serviços é a receita bruta de vendas e serviços, diminuída:

a) das vendas canceladas;

b) dos descontos e abatimentos concedidos incondicionalmente; e

c) dos impostos incidentes sobre as vendas.

4.1. Vendas canceladas correspondem à anulação de valores registrados como receita bruta de vendas e serviços; eventuais perdas ou ganhos decorrentes de cancelamento de venda, ou de rescisão contratual, não devem afetar a receita líquida de vendas e serviços, mas serão computados nos resultados operacionais.

4.2. Descontos incondicionais são parcelas redutoras do preço de venda, quando constarem da nota fiscal de venda dos bens ou da fatura de serviços e não dependerem de evento posterior à emissão desses documentos.

4.3. Para os efeitos desta Instrução Normativa reputam-se incidentes sobre as vendas os impostos que guardam proporcionalidade com o preço da venda ou dos serviços, mesmo que o respectivo montante integre a base de cálculo, tais como o Imposto sobre Circulação de Mercadorias, o Imposto sobre Serviços de Qualquer Natureza, o Imposto sobre a Exportação, o Imposto Único sobre Energia Elétrica, o Imposto Único sobre Combustíveis e Lubrificantes, etc.:

4.3.1. Incluem-se também neste item:

a) taxas que aguardam proporcionalidade com o preço de venda;

b) a parcela de contribuição para o Programa de Integração Social calculada sobre o faturamento;

c) a quota de contribuição, ou retenção cambial, devida na exportação.

5. É adicionado à receita bruta, para cálculo da receita líquida, o crédito-prêmio de ICM e IPI decorrente de exportação incentivada.

6. Deve ser excluído do custo de aquisição de mercadorias para revenda e de matérias-primas o montante do Imposto sobre Circulação de Mercadorias recuperável destacado em nota fiscal.

7. Esta Instrução Normativa entrará em vigor na data de sua publicação, revogadas as disposições em contrário."
O que se considera sistema de contabilidade de custo integrado e coordenado  com o restante da escrituração?,"Considera-se sistema de contabilidade de custo integrado e coordenado com o restante da escrituração aquele: a) apoiado em valores originados da escrituração contábil (matéria-prima, mão-de-obra direta, custos gerais de fabricação); b) que permite a determinação contábil, ao fim de cada mês, do valor dos estoques de matérias-primas e outros materiais, produtos em elaboração e produtos acabados; c) apoiado em livros auxiliares, fichas, folhas contínuas, ou mapas de apropriação ou rateio, tidos em boa guarda e de registros coincidentes com aqueles constantes da escrituração principal; e d) que permita avaliar os estoques existentes na data de encerramento do período de apropriação de resultados de acordo com os custos efetivamente incorridos.","RIR/2018, art. 306, § 2º.","Art. 306. Os produtos em fabricação e os produtos acabados serão avaliados pelo custo de produção (Lei nº 154, de 1947, art. 2º, § 4º; e Lei nº 6.404, de 1976, art. 183, caput, inciso II) .

§ 1º O contribuinte que mantiver sistema de contabilidade de custo integrado e coordenado com o restante da escrituração poderá utilizar os custos apurados para avaliação dos estoques de produtos em fabricação e acabados ( Decreto-Lei nº 1.598, de 1977, art. 14, § 1º ).

§ 2º Considera-se sistema de contabilidade de custo integrado e coordenado com o restante da escrituração aquele:

I - apoiado em valores originados da escrituração (matéria-prima, mão de obra direta, custos gerais de fabricação);

II - que permita a determinação contábil, ao fim de cada mês, do valor dos estoques de matérias-primas e outros materiais, produtos em elaboração e produtos acabados;

III - apoiado em livros auxiliares, fichas, folhas contínuas ou mapas de apropriação ou rateio, tidos em boa guarda e de registros coincidentes com aqueles constantes da escrituração principal; e

IV - que permita avaliar os estoques existentes na data de encerramento do período de apropriação de resultados de acordo com os custos efetivamente incorridos."
"Podem ser consideradas, como custo ou despesa operacional, as aquisições, por  empresas que exploram serviços de hotelaria, restaurantes e similares, de  guarnições de cama, mesa e banho, e louças?","Sim. Poderá ser computado, como custo ou despesa operacional, o valor da aquisição de guarnições de cama, mesa e banho, e louça, utilizadas por empresas que exploram serviços de hotelaria, restaurantes e atividades similares.","Instrução Normativa SRF nº 122, de 1989.","O SECRETÁRIO DA RECEITA FEDERAL, no uso de suas atribuições e tendo em vista o disposto no art. 202, § 1º, do Regulamento do Imposto de Renda, aprovado pelo Decreto nº 85.450, de 4 de dezembro de 1980,

RESOLVE:

Admitir que seja computado, como custo ou despesa operacional, o valor de aquisição de guarnições de cama, mesa e banho e a louça, utilizados por empresas que exploram serviços de hotelaria, restaurantes e atividades similares."
"Como deverão ser consideradas as diferenças decorrentes de alterações na taxa  de câmbio ocorridas entre a data do fechamento do contrato de câmbio e a data  de embarque, para efeito de registro da receita bruta de vendas nas exportações  de produtos manufaturados nacionais?","As diferenças decorrentes de alterações na taxa de câmbio ocorridas entre a data do fechamento do contrato de câmbio e a data do embarque devem ser consideradas como variações monetárias ativas ou passivas, conforme o caso.","Portaria MF nº 356, de 1988. Depreciação de Bens do Ativo Imobilizado","O Ministro de Estado da Fazenda, no uso de suas atribuições, e tendo em vista o disposto nos artigos 290 e 293 do Regulamento do Imposto de Renda aprovado pelo Decreto nº85.450, de 4 de dezembro de 1980. RESOLVE:
I - A receita bruta de vendas nas exportações de produtos manufaturados nacionais será determinada pela conversão, em cruzados, de seu valor expresso em moeda estrangeira à taxa de câmbio fixada no boletim de abertura pelo Banco Central do Brasil, para compra, em vigor na data de embarque dos produtos para o exterior. I.1 Entende-se como data de embarque dos produtos para o exterior aquela averbada pela autoridade competente, na Guia de Exportação ou documento de efeito equivalente. II - As diferenças decorrentes de alteração na taxa de câmbio, ocorridas entre a data do fechamento do contrato de câmbio e a data do embarque, serão consideradas como variações monetárias passivas ou ativas. III - Considera-se prêmio sobre contratos de câmbio de exportação, para fins fiscais, a parcela de remuneração paga ao exportador pelo banco interveniente nos contratos de câmbio, que exceder da variação do valor da OTN no período correspondente: IV - O prêmio sobre contratos de câmbio de exportações constitui receita financeira para fins de determinação do lucro real. V - Esta portaria entra em vigor na data de sua publicação, aplicando-se o disposto nos itens III e IV aos contratos de câmbio celebrados a partir de 1º de janeiro de 1989. VI - Fica revogada a Portaria nº 81, de 19 de maio de 1982."
"Em que consiste a exaustão, em termos contábeis?","Exaurir significa esgotar completamente. Em termos contábeis, a exaustão se relaciona com a perda de valor dos bens ou direitos do ativo, ao longo do tempo, decorrentes de sua exploração (extração ou aproveitamento).","Lei nº 6.404, de 1976, art. 183, §2º, alínea c.","Art. 183. No balanço, os elementos do ativo serão avaliados segundo os seguintes critérios:

I - as aplicações em instrumentos financeiros, inclusive derivativos, e em direitos e títulos de créditos, classificados no ativo circulante ou no realizável a longo prazo:                          (Redação dada pela Lei nº 11.638,de 2007)

a) pelo seu valor justo, quando se tratar de aplicações destinadas à negociação ou disponíveis para venda; e                              (Redação dada pela Lei nº 11.941, de 2009)

b) pelo valor de custo de aquisição ou valor de emissão, atualizado conforme disposições legais ou contratuais, ajustado ao valor provável de realização, quando este for inferior, no caso das demais aplicações e os direitos e títulos de crédito;                       (Incluída pela Lei nº 11.638,de 2007)

II - os direitos que tiverem por objeto mercadorias e produtos do comércio da companhia, assim como matérias-primas, produtos em fabricação e bens em almoxarifado, pelo custo de aquisição ou produção, deduzido de provisão para ajustá-lo ao valor de mercado, quando este for inferior;

III - os investimentos em participação no capital social de outras sociedades, ressalvado o disposto nos artigos 248 a 250, pelo custo de aquisição, deduzido de provisão para perdas prováveis na realização do seu valor, quando essa perda estiver comprovada como permanente, e que não será modificado em razão do recebimento, sem custo para a companhia, de ações ou quotas bonificadas;

IV - os demais investimentos, pelo custo de aquisição, deduzido de provisão para atender às perdas prováveis na realização do seu valor, ou para redução do custo de aquisição ao valor de mercado, quando este for inferior;

V - os direitos classificados no imobilizado, pelo custo de aquisição, deduzido do saldo da respectiva conta de depreciação, amortização ou exaustão;

VII – os direitos classificados no intangível, pelo custo incorrido na aquisição deduzido do saldo da respectiva conta de amortização;                       (Incluído pela Lei nº 11.638,de 2007)

VIII – os elementos do ativo decorrentes de operações de longo prazo serão ajustados a valor presente, sendo os demais ajustados quando houver efeito relevante.                    (Incluído pela Lei nº 11.638,de 2007)      (Vide Lei nº 12.973, de 2014)

§ 1o  Para efeitos do disposto neste artigo, considera-se valor justo:                                (Redação dada pela Lei nº 11.941, de 2009)

a) das matérias-primas e dos bens em almoxarifado, o preço pelo qual possam ser repostos, mediante compra no mercado;

b) dos bens ou direitos destinados à venda, o preço líquido de realização mediante venda no mercado, deduzidos os impostos e demais despesas necessárias para a venda, e a margem de lucro;

c) dos investimentos, o valor líquido pelo qual possam ser alienados a terceiros.

d) dos instrumentos financeiros, o valor que pode se obter em um mercado ativo, decorrente de transação não compulsória realizada entre partes independentes; e, na ausência de um mercado ativo para um determinado instrumento financeiro:                         (Incluída pela Lei nº 11.638,de 2007)

1) o valor que se pode obter em um mercado ativo com a negociação de outro instrumento financeiro de natureza, prazo e risco similares;                        (Incluído pela Lei nº 11.638,de 2007)

2) o valor presente líquido dos fluxos de caixa futuros para instrumentos financeiros de natureza, prazo e risco similares; ou                      (Incluído pela Lei nº 11.638,de 2007)

3) o valor obtido por meio de modelos matemático-estatísticos de precificação de instrumentos financeiros.                    (Incluído pela Lei nº 11.638,de 2007)

§ 2o  A diminuição do valor dos elementos dos ativos imobilizado e intangível será registrada periodicamente nas contas de:                       (Redação dada pela Lei nº 11.941, de 2009)

a) depreciação, quando corresponder à perda do valor dos direitos que têm por objeto bens físicos sujeitos a desgaste ou perda de utilidade por uso, ação da natureza ou obsolescência;

b) amortização, quando corresponder à perda do valor do capital aplicado na aquisição de direitos da propriedade industrial ou comercial e quaisquer outros com existência ou exercício de duração limitada, ou cujo objeto sejam bens de utilização por prazo legal ou contratualmente limitado;

c) exaustão, quando corresponder à perda do valor, decorrente da sua exploração, de direitos cujo objeto sejam recursos minerais ou florestais, ou bens aplicados nessa exploração.

§ 3o  A companhia deverá efetuar, periodicamente, análise sobre a recuperação dos valores registrados no imobilizado e no intangível, a fim de que sejam:                      (Redação dada pela Lei nº 11.941, de 2009)

I – registradas as perdas de valor do capital aplicado quando houver decisão de interromper os empreendimentos ou atividades a que se destinavam ou quando comprovado que não poderão produzir resultados suficientes para recuperação desse valor; ou                        (Incluído pela Lei nº 11.638,de 2007)

II – revisados e ajustados os critérios utilizados para determinação da vida útil econômica estimada e para cálculo da depreciação, exaustão e amortização.                  (Incluído pela Lei nº 11.638,de 2007)

§ 4° Os estoques de mercadorias fungíveis destinadas à venda poderão ser avaliados pelo valor de mercado, quando esse for o costume mercantil aceito pela técnica contábil."
Como os direitos sujeitos à exaustão serão apresentados no balanço?,"No balanço, os direitos serão classificados no ativo imobilizado e deverão ser avaliados pelo custo de aquisição, deduzido do saldo da respectiva conta de exaustão acumulada.","Lei nº 6.404, de 1976, art. 183, inciso V.","Art. 183. No balanço, os elementos do ativo serão avaliados segundo os seguintes critérios:

I - as aplicações em instrumentos financeiros, inclusive derivativos, e em direitos e títulos de créditos, classificados no ativo circulante ou no realizável a longo prazo:                          (Redação dada pela Lei nº 11.638,de 2007)

a) pelo seu valor justo, quando se tratar de aplicações destinadas à negociação ou disponíveis para venda; e                              (Redação dada pela Lei nº 11.941, de 2009)

b) pelo valor de custo de aquisição ou valor de emissão, atualizado conforme disposições legais ou contratuais, ajustado ao valor provável de realização, quando este for inferior, no caso das demais aplicações e os direitos e títulos de crédito;                       (Incluída pela Lei nº 11.638,de 2007)

II - os direitos que tiverem por objeto mercadorias e produtos do comércio da companhia, assim como matérias-primas, produtos em fabricação e bens em almoxarifado, pelo custo de aquisição ou produção, deduzido de provisão para ajustá-lo ao valor de mercado, quando este for inferior;

III - os investimentos em participação no capital social de outras sociedades, ressalvado o disposto nos artigos 248 a 250, pelo custo de aquisição, deduzido de provisão para perdas prováveis na realização do seu valor, quando essa perda estiver comprovada como permanente, e que não será modificado em razão do recebimento, sem custo para a companhia, de ações ou quotas bonificadas;

IV - os demais investimentos, pelo custo de aquisição, deduzido de provisão para atender às perdas prováveis na realização do seu valor, ou para redução do custo de aquisição ao valor de mercado, quando este for inferior;

V - os direitos classificados no imobilizado, pelo custo de aquisição, deduzido do saldo da respectiva conta de depreciação, amortização ou exaustão;

VII – os direitos classificados no intangível, pelo custo incorrido na aquisição deduzido do saldo da respectiva conta de amortização;                       (Incluído pela Lei nº 11.638,de 2007)

VIII – os elementos do ativo decorrentes de operações de longo prazo serão ajustados a valor presente, sendo os demais ajustados quando houver efeito relevante.                    (Incluído pela Lei nº 11.638,de 2007)      (Vide Lei nº 12.973, de 2014)

§ 1o  Para efeitos do disposto neste artigo, considera-se valor justo:                                (Redação dada pela Lei nº 11.941, de 2009)

a) das matérias-primas e dos bens em almoxarifado, o preço pelo qual possam ser repostos, mediante compra no mercado;

b) dos bens ou direitos destinados à venda, o preço líquido de realização mediante venda no mercado, deduzidos os impostos e demais despesas necessárias para a venda, e a margem de lucro;

c) dos investimentos, o valor líquido pelo qual possam ser alienados a terceiros.

d) dos instrumentos financeiros, o valor que pode se obter em um mercado ativo, decorrente de transação não compulsória realizada entre partes independentes; e, na ausência de um mercado ativo para um determinado instrumento financeiro:                         (Incluída pela Lei nº 11.638,de 2007)

1) o valor que se pode obter em um mercado ativo com a negociação de outro instrumento financeiro de natureza, prazo e risco similares;                        (Incluído pela Lei nº 11.638,de 2007)

2) o valor presente líquido dos fluxos de caixa futuros para instrumentos financeiros de natureza, prazo e risco similares; ou                      (Incluído pela Lei nº 11.638,de 2007)

3) o valor obtido por meio de modelos matemático-estatísticos de precificação de instrumentos financeiros.                    (Incluído pela Lei nº 11.638,de 2007)

§ 2o  A diminuição do valor dos elementos dos ativos imobilizado e intangível será registrada periodicamente nas contas de:                       (Redação dada pela Lei nº 11.941, de 2009)

a) depreciação, quando corresponder à perda do valor dos direitos que têm por objeto bens físicos sujeitos a desgaste ou perda de utilidade por uso, ação da natureza ou obsolescência;

b) amortização, quando corresponder à perda do valor do capital aplicado na aquisição de direitos da propriedade industrial ou comercial e quaisquer outros com existência ou exercício de duração limitada, ou cujo objeto sejam bens de utilização por prazo legal ou contratualmente limitado;

c) exaustão, quando corresponder à perda do valor, decorrente da sua exploração, de direitos cujo objeto sejam recursos minerais ou florestais, ou bens aplicados nessa exploração.

§ 3o  A companhia deverá efetuar, periodicamente, análise sobre a recuperação dos valores registrados no imobilizado e no intangível, a fim de que sejam:                      (Redação dada pela Lei nº 11.941, de 2009)

I – registradas as perdas de valor do capital aplicado quando houver decisão de interromper os empreendimentos ou atividades a que se destinavam ou quando comprovado que não poderão produzir resultados suficientes para recuperação desse valor; ou                        (Incluído pela Lei nº 11.638,de 2007)

II – revisados e ajustados os critérios utilizados para determinação da vida útil econômica estimada e para cálculo da depreciação, exaustão e amortização.                  (Incluído pela Lei nº 11.638,de 2007)

§ 4° Os estoques de mercadorias fungíveis destinadas à venda poderão ser avaliados pelo valor de mercado, quando esse for o costume mercantil aceito pela técnica contábil."
Como deve proceder o contribuinte que deixou de contabilizar ou contabilizou  a menor o valor da provisão para o imposto sobre a renda?,"Deve, no curso do período de apuração seguinte, mediante lançamento de ajuste em contas próprias, com efeitos retroativos ao início do período de apuração, regularizar sua situação contábil pelo registro do valor da provisão (ou da diferença a menor apurada), a débito de conta do patrimônio líquido (prejuízos acumulados).","Lei nº 6.404, de 1976, art. 178, §2º, inciso III. ","Art. 178. No balanço, as contas serão classificadas segundo os elementos do patrimônio que registrem, e agrupadas de modo a facilitar o conhecimento e a análise da situação financeira da companhia.

        § 1º No ativo, as contas serão dispostas em ordem decrescente de grau de liquidez dos elementos nelas registrados, nos seguintes grupos:

        I – ativo circulante; e (Incluído pela Lei nº 11.941, de 2009)

        II – ativo não circulante, composto por ativo realizável a longo prazo, investimentos, imobilizado e intangível. (Incluído pela Lei nº 11.941, de 2009)

        § 2º No passivo, as contas serão classificadas nos seguintes grupos:

I – passivo circulante; (Incluído pela Lei nº 11.941, de 2009)

II – passivo não circulante; e (Incluído pela Lei nº 11.941, de 2009)

III – patrimônio líquido, dividido em capital social, reservas de capital, ajustes de avaliação patrimonial, reservas de lucros, ações em tesouraria e prejuízos acumulados. (Incluído pela Lei nº 11.941, de 2009)

        § 3º Os saldos devedores e credores que a companhia não tiver direito de compensar serão classificados separadamente."
As sociedades por ações poderão ter quantos conselheiros fiscais?,"O conselho fiscal será composto de, no mínimo, 3 (três), e no máximo, 5 (cinco) membros, e suplentes em igual número, acionistas ou não, eleitos pela assembleia- geral.","Lei nº 6.404, de 1976, art. 161, § 1º. ","Art. 161. A companhia terá um conselho fiscal e o estatuto disporá sobre seu funcionamento, de modo permanente ou nos exercícios sociais em que for instalado a pedido de acionistas.

        § 1º O conselho fiscal será composto de, no mínimo, 3 (três) e, no máximo, 5 (cinco) membros, e suplentes em igual número, acionistas ou não, eleitos pela assembléia-geral.

        § 2º O conselho fiscal, quando o funcionamento não for permanente, será instalado pela assembléia-geral a pedido de acionistas que representem, no mínimo, 0,1 (um décimo) das ações com direito a voto, ou 5% (cinco por cento) das ações sem direito a voto, e cada período de seu funcionamento terminará na primeira assembléia-geral ordinária após a sua instalação.

        § 3º O pedido de funcionamento do conselho fiscal, ainda que a matéria não conste do anúncio de convocação, poderá ser formulado em qualquer assembléia-geral, que elegerá os seus membros.

        § 4º Na constituição do conselho fiscal serão observadas as seguintes normas:

        a) os titulares de ações preferenciais sem direito a voto, ou com voto restrito, terão direito de eleger, em votação em separado, 1 (um) membro e respectivo suplente; igual direito terão os acionistas minoritários, desde que representem, em conjunto, 10% (dez por cento) ou mais das ações com direito a voto;

        b) ressalvado o disposto na alínea anterior, os demais acionistas com direito a voto poderão eleger os membros efetivos e suplentes que, em qualquer caso, serão em número igual ao dos eleitos nos termos da alínea a, mais um.

        § 5º Os membros do conselho fiscal e seus suplentes exercerão seus cargos até a primeira assembléia-geral ordinária que se realizar após a sua eleição, e poderão ser reeleitos.

        § 6o Os membros do conselho fiscal e seus suplentes exercerão seus cargos até a primeira assembléia-geral ordinária que se realizar após a sua eleição, e poderão ser reeleitos. (Incluído pela Lei nº 10.303, de 2001)

        § 7o A função de membro do conselho fiscal é indelegável.  (Incluído pela Lei nº 10.303, de 2001)"
"Existe a possibilidade de serem deduzidas, para fins do imposto de renda, as  perdas havidas na alienação de investimentos oriundos de incentivos fiscais?","Não. A legislação fiscal não admite a dedutibilidade, na apuração do lucro real, da perda de capital decorrente de alienação ou baixa de investimentos adquiridos mediante dedução do imposto de renda devido pela pessoa jurídica, como, por exemplo, os incentivos fiscais para o Finor, Finam e Funres. O valor da perda apurada contabilmente deverá ser adicionado ao lucro líquido, para fins de determinação do lucro real, no Lalur, Parte A.","RIR/2018, art. 510.","Art. 510. Não será dedutível, para fins de determinação do lucro real, a perda apurada na alienação ou na baixa de investimento adquirido por meio de dedução do imposto sobre a renda devido pela pessoa jurídica ( Decreto-Lei nº 1.648, de 18 de dezembro de 1978, art. 6º )."
Qual o tratamento tributário aplicável ao prejuízo fiscal apurado por Sociedade  em Conta de Participação (SCP)?,"O prejuízo fiscal apurado por Sociedade em Conta de Participação (SCP), somente poderá ser compensado com o lucro real decorrente da mesma SCP. É vedada a compensação de prejuízos fiscais e lucros entre duas ou mais SCP, ou entre estas e o sócio ostensivo.","RIR/2018, art. 586.","Art. 586. O prejuízo fiscal apurado por sociedade em conta de participação somente poderá ser compensado com o lucro real decorrente da mesma sociedade ( Decreto-Lei nº 2.303, de 21 de novembro de 1986, art. 7º ; e Decreto-Lei nº 2.308, de 19 de dezembro de 1968, art. 3º ).

Parágrafo único. É vedada a compensação de prejuízos fiscais e lucros entre duas ou mais sociedades em conta de participação ou entre estas e o sócio ostensivo."
"A pessoa jurídica que tiver prejuízo fiscal de períodos de apuração anteriores  devidamente apurado e controlado no Lalur, vindo a se submeter à tributação  utilizando-se de outra base que não a do lucro real, perderá o direito de  compensar este prejuízo?","O direito à compensação dos prejuízos fiscais, desde que estejam devidamente apurados e controlados na parte B do Lalur, somente poderá ser exercido quando a pessoa jurídica for tributada com base no lucro real, pois quando a forma de tributação for outra não há que se falar em apurar ou compensar prejuízos fiscais. Esse direito, entretanto, não será prejudicado ainda que o contribuinte possa, em algum período de apuração, ter sido tributado com base no lucro presumido ou arbitrado. Assim, no período-base em que retornar à tributação com base no lucro real poderá compensar o prejuízo fiscal constante no Lalur, Parte B, observada a legislação vigente à época da compensação.","IN DPRF nº 21, de 1992, art. 22.","Art. 22. Caso a pessoa jurídica optante pelo lucro presumido retorne ao regime de tributação pelo lucro real, o saldo de prejuízos fiscais, remanescente deste regime e não utilizado, poderá vir a ser compensado, observados os prazos e normas pertinentes à compensação."
